,accuracy,precision,precision_w,recall,f1,f1_w,conf,n_comps
actual,1.0,1.0,1.0,1.0,1.0,1.0,"[[16  0  0  0  0]
 [ 0  8  0  0  0]
 [ 0  0 42  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0  4]]",
All,1.0,1.0,1.0,1.0,1.0,1.0,"[[16  0  0  0  0]
 [ 0  8  0  0  0]
 [ 0  0 42  0  0]
 [ 0  0  0 10  0]
 [ 0  0  0  0  4]]",117.0
PLS,0.8625,0.8802795031055901,0.8620729813664596,0.8432142857142857,0.858939393939394,0.8595075757575759,"[[13  0  3  0  0]
 [ 0  7  1  0  0]
 [ 1  0 39  2  0]
 [ 0  1  3  6  0]
 [ 0  0  0  0  4]]",9.0
rel PLS,0.8125,0.8394243437721698,0.8197767811898247,0.7911904761904761,0.8098895357516047,0.8117564188684879,"[[12  0  4  0  0]
 [ 0  5  2  1  0]
 [ 1  1 37  3  0]
 [ 0  0  3  7  0]
 [ 0  0  0  0  4]]",7.0
PLS DA,0.7125,0.8128078817733989,0.7550492610837438,0.42523809523809525,0.41288888888888897,0.6460555555555555,"[[12  0  4  0  0]
 [ 1  0  3  4  0]
 [ 1  0 41  0  0]
 [ 0  0  6  4  0]
 [ 0  0  4  0  0]]",1.0
