,accuracy,precision,precision_w,recall,f1,f1_w,conf,n_comps
actual,1.0,1.0,1.0,1.0,1.0,1.0,"[[768   0   0]
 [  0 341   0]
 [  0   0 605]]",
Naive,0.44807467911318555,0.8160248930377284,0.7526962389491987,0.3333333333333333,0.20628525382755844,0.2772935967436958,"[[768   0   0]
 [341   0   0]
 [605   0   0]]",0.0
All,0.6219369894982497,0.6293229911869497,0.6258134945013071,0.6062650191430433,0.6143230767053905,0.6214329623244327,"[[491  42 235]
 [108 179  54]
 [160  49 396]]",86.0
PLS,0.602683780630105,0.5957808985845782,0.6018524954920164,0.5914889825676116,0.5933888495911396,0.6019949669906357,"[[502  65 201]
 [114 190  37]
 [188  76 341]]",15.0
rel PLS,0.5198366394399067,0.46367674155465904,0.487669829333796,0.43491117646405403,0.40356713322781707,0.47325026161424216,"[[519   8 241]
 [279  11  51]
 [230  14 361]]",2.0
PLS DA,0.5950991831971996,0.5886994635416255,0.5941014055621239,0.5823106199457923,0.5850647104891588,0.5941281396476108,"[[501  64 203]
 [120 185  36]
 [195  76 334]]",7.0
LDA,0.6079346557759626,0.620815347895357,0.611942814579051,0.587682729050031,0.5994443476040122,0.6068212076688699,"[[504  39 225]
 [122 170  49]
 [194  43 368]]",2.0
PCA,0.6085180863477246,0.6000800328201046,0.6090839585126334,0.5982915666933262,0.5989308217288764,0.6085458735850969,"[[480  67 221]
 [112 187  42]
 [154  75 376]]",22.0
PILOT,0.6038506417736289,0.5960117333243765,0.6046020890430934,0.5945854716520039,0.5950104112643115,0.6039265637663688,"[[474  68 226]
 [112 187  42]
 [156  75 374]]",20.0
