,accuracy,precision,precision_w,recall,f1,f1_w,conf,n_comps
actual,1.0,1.0,1.0,1.0,1.0,1.0,"[[743   0   0]
 [  0 146   0]
 [  0   0 825]]",
Naive,0.4813302217036173,0.8271100739012057,0.7503485606216361,0.3333333333333333,0.21662071681764475,0.31279829295430034,"[[  0   0 743]
 [  0   0 146]
 [  0   0 825]]",0.0
All,0.6680280046674446,0.7057516871345841,0.6760618642813725,0.5240763467190945,0.5402719598442753,0.6496253713487077,"[[451   4 288]
 [ 77  22  47]
 [151   2 672]]",86.0
PLS,0.6429404900816803,0.6699014694695317,0.6488593787492508,0.4800389745274422,0.47607901197281605,0.6176664743073245,"[[443   2 298]
 [ 82   8  56]
 [173   1 651]]",22.0
rel PLS,0.5915985997666278,0.7326490931219759,0.6322030216809222,0.4243674973150074,0.39956309778520277,0.5522755167128517,"[[329   0 414]
 [ 63   0  83]
 [140   0 685]]",1.0
PLS DA,0.6417736289381564,0.6642982249497243,0.6464727671918228,0.4743963427113927,0.4648871690918069,0.6156570673810221,"[[461   1 281]
 [ 89   5  52]
 [190   1 634]]",7.0
LDA,0.6295215869311552,0.7511814604447414,0.6594516581085155,0.45575811955354356,0.434965550913307,0.5992449999745996,"[[444   0 299]
 [ 96   0  50]
 [190   0 635]]",1.0
PCA,0.6715285880980163,0.7082174898440421,0.6794110849404101,0.5266343629514042,0.542770132661944,0.6530308475228901,"[[454   4 285]
 [ 77  22  47]
 [148   2 675]]",63.0
PILOT,0.6709451575262544,0.6884993756307636,0.6750884402116626,0.5239945277737271,0.538017644672449,0.6514433396076096,"[[446   5 292]
 [ 77  21  48]
 [139   3 683]]",74.0
