,accuracy,precision,precision_w,recall,f1,f1_w,conf,n_comps
actual,1.0,1.0,1.0,1.0,1.0,1.0,"[[2037    0    0]
 [   0  750    0]
 [   0    0  413]]",
Naive,0.6365625,0.8788541666666667,0.76864931640625,0.3333333333333333,0.2593087645598625,0.49519870632041246,"[[2037    0    0]
 [ 750    0    0]
 [ 413    0    0]]",
All,0.74125,0.6799665975180712,0.7263291324097655,0.6202155046886831,0.6413211690724375,0.7264812900738759,"[[1831  139   67]
 [ 370  320   60]
 [ 136   56  221]]",
PLS,0.74,0.6793197695018476,0.7248139502730726,0.6189993371220001,0.6404003023784187,0.7251470410116349,"[[1829  143   65]
 [ 373  318   59]
 [ 136   56  221]]",41.0
rel PLS,0.713125,0.6455767348535385,0.6890530436119094,0.5682352634454678,0.588586679421934,0.6859115642178955,"[[1853  121   63]
 [ 468  224   58]
 [ 152   56  205]]",22.0
PLS DA,0.7421875,0.6839389428789483,0.7278978589567059,0.6245672016840985,0.6454207769051118,0.7276384613233985,"[[1828  139   70]
 [ 374  320   56]
 [ 134   52  227]]",24.0
LDA,0.731875,0.6875403228071226,0.7162805924141169,0.5732117742664659,0.6072419301325719,0.7089558108356436,"[[1876  131   30]
 [ 404  303   43]
 [ 189   61  163]]",2.0
PCA,0.741875,0.6826673250936507,0.727193582377916,0.6204609304144514,0.6425370658225295,0.7270863623754112,"[[1832  138   67]
 [ 372  322   56]
 [ 137   56  220]]",39.0
PILOT,0.7390625,0.6805013191332989,0.723634404715041,0.6195611470285592,0.6405653549300926,0.7234257844024832,"[[1830  140   67]
 [ 386  308   56]
 [ 132   54  227]]",31.0
